TICKER,Sector,Industry
BFST,Financials,Banks
RKNEF,Information Technology,Software
ZUO,Information Technology,Software
NDVN,Information Technology,Internet Software & IT Services
COVTY,Materials,Specialty Chemicals 
NVT,Industrials,Electrical Equipment
GDMRF,Materials,Precious Metals Gold Mining 
AGMH,Financials,Diversified Financials
EAF,Industrials,Electrical Equipment
SURF,Health Care,Biotechnology Life Sciences
MOR,Health Care,Biotechnology Life Sciences
LEVL,Financials,Banks
CLBK,Financials,Banks
CYBNY,Information Technology,Internet Software & IT Services
OGDCF,Materials,Precious Metals Gold Mining 
